Region,Upper Tier Local Authority  ,Lower Tier Local Authority  ,Plug in Grant Eligible Vehicles,Hybrid Electric,Band A Cars,Company Cars,cars: Av Co2,Cars: Average Age,Petrol Cars,Diesel Cars,All Cars,Cars: Av Engine Size,Cars: Av Mass,Cars: Av Nox,PropDiesel,PropCompanyCar
Yorkshire and Humberside,Rotherham,Rotherham,27,513,2950,5732,153,8,70929,44970,116609,1687,1389,0.11,38.5647763,4.915572554
Yorkshire and Humberside,Sheffield,Sheffield,103,1235,6152,14472,152,7.9,130819,73418,205804,1668,1389,0.1,35.67374784,7.031933296
Yorkshire and Humberside,Wakefield,Wakefield,51,459,4288,9777,151,7.6,91005,56411,148101,1673,1390,0.11,38.089547,6.601575952
Yorkshire and Humberside,York UA,York UA,25,472,2584,3882,152,7.7,53498,28020,82100,1683,1385,0.1,34.12911084,4.728380024
East Midlands,Derby UA,Derby UA,65,650,4006,12527,150,7.8,68238,40868,109944,1676,1408,0.1,37.17165102,11.39398239
East Midlands,Derbyshire,Amber Valley,29,322,1800,3635,154,8.2,40118,23888,64452,1711,1407,0.11,37.06324086,5.639856017
East Midlands,Derbyshire,Bolsover,11,210,1007,2314,154,8.3,22656,14589,37509,1697,1403,0.12,38.89466528,6.169186062
East Midlands,Derbyshire,Chesterfield,49,224,2883,10587,147,7,33032,22348,55715,1665,1484,0.11,40.11128062,19.00206408
East Midlands,Derbyshire,Derbyshire Dales,23,191,1099,1475,158,8.5,22358,17950,40573,1789,1458,0.13,44.24124418,3.635422572
East Midlands,Derbyshire,Erewash,24,335,2052,5744,151,7.9,37663,19511,57604,1668,1399,0.1,33.87091174,9.971529755
East Midlands,Derbyshire,High Peak,11,217,1322,1641,155,8.2,28442,16514,45236,1701,1400,0.11,36.5063224,3.627641701
East Midlands,Derbyshire,North East Derbyshire,19,191,1466,2470,155,8.1,32570,19913,52761,1721,1414,0.11,37.74189269,4.68148822
East Midlands,Derbyshire,South Derbyshire,15,421,1752,2142,154,7.9,31986,19953,52457,1724,1404,0.11,38.03686829,4.083344454
East Midlands,Leicester UA, ,55,751,7670,46835,146,7,91288,57165,149496,1652,1421,0.1,38.2384813,31.32859742
East Midlands,Leicestershire,Blaby,21,275,2259,3804,152,8.1,34034,19338,53746,1694,1387,0.1,35.98035203,7.077736018
East Midlands,Leicestershire,Charnwood,39,492,2190,3460,154,8.5,53763,28143,82551,1705,1402,0.1,34.09165243,4.191348379
East Midlands,Leicestershire,Harborough,26,247,1335,1650,157,8.1,30453,19231,50040,1782,1433,0.11,38.431255,3.29736211
East Midlands,Leicestershire,Hinckley and Bosworth,23,285,1835,2012,154,8.2,37314,21807,59527,1715,1391,0.11,36.63379643,3.379978833
